Star ID,NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),neg_sigma_dist,pos_sigma_dist,Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F438W,F438W_abs,F438W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e
R0000586,288,Monty,344,13.22033,-26.58891,8988,-88,89,13.27,-1.498315319,,,,,,,,,11.54,0.217,0.008,-1.29,,,0.090174537,0.041,19.0651,4.296784681,0.0,16.0464,1.278084681,0.0,,,,12.891,-1.877315319,0.0,12.0955,-2.672815319,0.0
R0009402,362,Carretta,995,15.84649583,-70.83193889,8829,-96,96,14.548,-0.181557584,15.446,0.716442416,,,12.013,-2.716557584,4661.0,1.92,10.87,-1.259,,-1.23,0.17,,-0.14,0.04,17.8851,3.155542416,0.0148,15.9097,1.180142416,0.0,15.5031,0.773542416,0.0,14.3515,-0.378057584,0.0,13.5798,-1.149757584,0.0
R0009467,362,Carretta,1037,15.87010833,-70.831375,8829,-96,96,13.696,-1.033557584,14.844,0.114442416,,,10.833,-3.896557584,4395.0,1.33,10.87,-1.174,,-1.23,-0.16,,0.38,0.03,18.5927,3.863142416,0.0024,16.0145,1.284942416,0.0,,,,13.4221,-1.307457584,0.0,12.4928,-2.236757584,0.0
R0009845,362,Carretta,1344,15.835725,-70.826975,8829,-96,96,15.17,0.440442416,16.094,1.364442416,,,12.884,-1.845557584,4858.0,2.22,10.87,-1.123,,-1.23,0.11,,-0.14,0.15,18.5391,3.809542416,0.0058,16.5034,1.773842416,0.0,16.1529,1.423342416,0.0016,14.9623,0.232742416,0.0,14.1761,-0.553457584,0.0
R0010086,362,Carretta,1767,15.81937917,-70.82100556,8829,-96,96,14.354,-0.375557584,15.37,0.640442416,,,11.774,-2.955557584,4608.0,1.74,10.87,-1.138,,-1.23,0.11,,0.21,0.14,18.4638,3.734242416,0.0,16.1633,1.433742416,0.0,15.4733,0.743742416,0.0,14.1167,-0.612857584,0.0,13.2678,-1.461757584,0.0
R0000628,362,Carretta,10921,15.75634583,-70.86811389,8829,-96,96,14.518,-0.211557584,15.432,0.702442416,,,12.015,-2.714557584,4662.0,1.84,10.87,-1.194,,-1.23,-0.34,0.08,0.41,0.05,,,,,,,,,,14.3061,-0.423457584,0.0,13.4827,-1.246857584,0.0
R0000953,362,Carretta,11037,15.7441125,-70.86484444,8829,-96,96,13.253,-1.476557584,14.492,-0.237557584,,,10.14,-4.589557584,4239.0,1.03,10.87,-1.161,,-1.23,-0.04,0.03,0.42,0.03,18.9364,4.206842416,0.0016,16.1213,1.391742416,0.0,,,,12.948,-1.781557584,0.0,11.9522,-2.777357584,0.0
R0004447,362,Carretta,11643,15.73779583,-70.85055278,8829,-96,96,15.362,0.632442416,16.19,1.460442416,,,13.138,-1.591557584,4915.0,2.33,10.87,-1.176,,-1.23,0.21,,0.03,0.06,18.5036,3.774042416,0.0121,16.6667,1.937142416,0.0021,16.3364,1.606842416,0.0079,15.1951,0.465542416,0.0,14.4402,-0.289357584,0.0
R0005128,362,Carretta,11705,15.75846667,-70.84886389,8829,-96,96,16.149,1.419442416,16.959,2.229442416,,,14.032,-0.697557584,5117.0,2.66,10.87,-1.17,,-1.23,,,-0.06,0.07,18.7337,4.004142416,0.0172,17.1859,2.456342416,0.0061,17.024,2.294442416,0.0103,15.9834,1.253842416,0.0,15.284,0.554442416,0.0
R0007634,362,Carretta,12017,15.72147917,-70.84194167,8829,-96,96,13.014,-1.715557584,14.331,-0.398557584,,,9.721,-5.008557584,4144.0,0.85,10.87,-1.088,,-1.23,0.4,0.03,0.02,0.07,,,,,,,,,,12.6918,-2.037757584,0.0,11.6358,-3.093757584,0.0
