Fe/H,O/Fe,Na/Fe,F275W,F336W,F438W,F606W,F814W
-0.484,-0.002,0.852,23.21,19.7837,17.9554,15.7227,14.4364
-0.529,-0.056,0.455,23.2881,19.5925,17.7168,15.4418,14.1107
-0.543,-0.112,0.639,23.1274,19.7407,17.2791,14.5746,13.0279
-0.491,-0.188,0.456,23.0795,20.1031,17.4161,14.5344,12.5646
-0.523,0.264,0.001,22.4028,19.1174,17.7042,15.7043,14.4918
-0.412,-0.451,0.77,23.0664,19.7019,17.6691,15.2592,13.9219
-0.47,-0.074,0.519,23.0062,19.5514,17.8543,15.7007,14.4481
-0.552,-0.372,0.884,22.7061,19.8445,17.2786,14.4776,12.6162
-0.452,-0.3,0.325,23.3908,19.7023,17.3917,14.8354,13.3562
-0.573,-0.242,0.497,23.2418,20.222,17.9138,14.1943,12.4155
-0.523,-0.442,0.704,21.9964,19.8846,17.5983,14.9973,13.5784
-0.476,-0.099,0.215,23.1233,19.7668,17.5603,14.9424,13.3854
-0.531,0.126,0.392,23.451,19.6406,17.8554,15.6735,14.3726
-0.525,-0.22,0.534,23.2819,19.5847,17.7121,15.4441,14.1241
-0.509,-0.149,0.111,23.7525,20.8449,17.9274,14.4414,12.6029
-0.533,-0.183,0.454,23.4594,19.949,18.3464,16.2341,14.9841
-0.506,-0.393,0.678,23.3707,20.1202,17.5736,14.7868,13.1563
-0.456,0.04,0.058,23.2962,19.5655,17.9143,15.7255,14.4107
-0.513,-0.034,0.337,23.7428,19.9916,17.675,15.1616,13.7137
-0.466,0.01,-0.014,23.2403,19.5235,17.4332,14.9911,13.5785
-0.516,-0.034,0.386,23.2199,19.6694,17.9017,15.6829,14.3681
-0.398,-0.575,1.024,23.4009,20.2245,17.7492,14.9119,13.3501
-0.517,-0.338,0.393,23.2626,19.8832,18.2716,15.6488,14.371
-0.508,0.257,0.474,23.1288,19.541,17.8461,15.615,14.3159
-0.483,-0.075,0.399,23.5629,19.8235,17.6736,15.1857,13.788
-0.524,0.089,0.093,22.5515,19.5045,18.1871,16.2186,15.0393
-1.53,0.42,0.27,19.9696,17.2149,15.3663,13.2612,12.0799
-1.58,0.55,-0.08,20.1559,17.1767,15.34,13.4827,12.3307
-1.61,0.51,0.11,20.2861,17.3806,15.3621,13.1122,11.8733
-1.51,0.45,0.15,19.8469,16.9996,15.5497,13.7224,12.6373
-1.46,0.67,-0.07,19.9051,16.9315,15.5087,13.7772,12.7137
-1.48,0.57,-0.06,20.2104,17.0863,15.4664,13.4544,12.3343
-0.824,0.477,0.414,19.1928,16.5698,15.5962,13.9489,12.9353
-0.84,0.47,0.336,19.2677,16.5803,15.5509,13.9026,12.8632
-0.862,0.462,0.233,19.3494,16.8012,16.0469,14.4814,13.4881
-0.817,0.424,0.436,19.6337,16.3647,15.0794,13.1719,12.0523
-0.794,0.418,0.373,19.3601,16.8239,16.1054,14.5569,13.5968
-0.787,0.483,0.233,19.4102,16.841,16.1039,14.5656,13.5751
-0.832,0.366,0.43,19.173,16.7825,16.0054,14.4895,13.5442
-0.799,0.35,0.316,19.3735,16.5175,15.5432,13.8878,12.8411
-0.837,0.383,0.24,19.3193,16.7897,16.0632,14.5331,13.5512
-0.803,0.367,0.422,19.1442,16.8548,16.0711,14.5787,13.6305
-0.75,0.352,0.199,19.2447,16.6615,15.8774,14.3123,13.3325
-0.773,0.474,0.113,19.2275,16.7445,16.0757,14.5534,13.5787
-0.856,0.325,0.226,19.2226,16.8853,16.1322,14.6015,13.6327
-1.36,0.55,0.18,20.4544,17.5167,16.1723,14.2964,13.2822
-1.34,0.57,0.53,19.9016,17.6748,16.9593,15.5481,14.6419
-1.3,0.7,-0.23,20.1182,17.5789,16.7723,15.2598,14.3084
-1.6,0.44,0.32,19.7642,17.143,15.8802,14.19,13.1613
-1.53,0.51,0.26,20.3183,17.3845,15.9172,14.0446,12.9357
-1.52,0.62,-0.07,20.6071,17.5093,15.6933,13.5861,12.4118
-1.35,0.61,-0.14,20.1931,17.4813,16.491,14.8906,13.9074
-1.62,0.0,0.46,19.5162,17.4186,16.6642,15.2491,14.3399
-1.61,0.28,0.39,19.5706,17.8246,17.3995,16.1634,15.3382
-2.251,0.472,0.376,18.2652,17.0323,16.9113,15.8521,15.06
-2.339,0.217,0.338,17.7903,15.871,15.1218,13.7391,12.8274
-2.375,0.46,0.111,18.1705,15.5944,14.4617,12.8518,11.8413
-2.315,-0.014,0.65,17.7361,15.8142,15.119,13.7614,12.8459
-2.352,0.127,0.557,17.9056,15.7146,14.9147,13.4906,12.5407
-2.247,0.427,0.378,18.1008,16.7864,16.6362,15.5487,14.7553
-2.361,0.262,0.293,17.9274,15.7292,15.0017,13.612,12.6722
-2.32,0.411,0.366,18.0685,16.7609,16.6649,15.5815,14.7918
-2.326,0.242,0.44,18.3045,15.6401,14.2351,12.4222,11.3209
-2.41,0.268,0.375,17.936,16.4511,16.2392,15.0888,14.2639
-2.314,0.028,0.626,17.7739,15.9698,15.3644,14.0345,13.1344
-2.24,0.33,0.24,17.5463,15.0135,13.7815,12.1057,11.0919
-2.4,0.11,0.68,17.1079,14.8737,13.8,12.2793,11.3267
-2.27,0.18,0.54,17.749,15.1257,13.4749,11.7532,10.626
