age_Kruijssen,Fe/H,O/Fe,F275W,F275W_abs,F336W,F336W_abs,F435W,F435W_abs,F606W,F606W_abs,F814W,F814W_abs
11.25,-1.523,-0.086,18.0008,4.623283076,16.1206,2.743083076,15.7518,2.374283076,14.3481,0.970583076,13.3968,0.019283076
11.25,-1.49,0.061,18.9164,5.538883076,17.3887,4.011183076,17.0925,3.714983076,15.7926,2.415083076,14.8552,1.477683076
11.25,-1.454,-0.345,17.8786,4.501083076,15.8682,2.490683076,15.1922,1.814683076,13.7234,0.345883076,12.7207,-0.656816924
11.25,-1.562,0.238,17.7312,4.353683076,15.9554,2.577883076,15.6422,2.264683076,14.3376,0.960083076,13.4016,0.024083076
11.25,-1.44,0.079,18.0557,4.678183076,15.6132,2.235683076,14.6604,1.282883076,12.9976,-0.379916924,11.9138,-1.463716924
11.25,-1.461,-0.784,18.1512,4.773683076,16.3061,2.928583076,15.7637,2.386183076,14.3593,0.981783076,13.3764,-0.001116924
11.25,-1.397,0.191,18.6894,5.311883076,16.8584,3.480883076,16.5735,3.195983076,15.2149,1.837383076,14.2718,0.894283076
11.25,-1.545,-0.637000024,18.0968,4.719283076,15.7472,2.369683076,14.7297,1.352183076,13.0907,-0.286816924,11.9865,-1.391016924
11.25,-1.43,0.372999996,18.4266,5.049083076,16.3737,2.996183076,15.9226,2.545083076,14.4542,1.076683076,13.4647,0.087183076
11.25,-1.551,-0.032000002,18.0742,4.696683076,16.2723,2.894783076,15.7886,2.411083076,14.4003,1.022783076,13.4454,0.067883076
11.25,-1.543,-0.022,18.6746,5.297083076,17.0007,3.623183076,16.5807,3.203183076,15.2036,1.826083076,14.2312,0.853683076
11.25,-1.541,0.048999999,18.1591,4.781583076,16.3086,2.931083076,15.8346,2.457083076,14.4166,1.039083076,13.4613,0.083783076
11.25,-1.432,0.38499999,18.1686,4.791083076,16.1506,2.773083076,15.7139,2.336383076,14.2951,0.917583076,13.3216,-0.055916924
11.25,-1.568,0.234451931,18.0139,4.636383076,15.8744,2.496883076,15.3377,1.960183076,13.8508,0.473283076,12.8344,-0.543116924
11.25,-1.525,0.300000012,18.5164,5.138883076,16.929,3.551483076,16.6079,3.230383076,15.3089,1.931383076,14.3885,1.010983076
11.25,-1.512,0.174210657,18.6171,5.239583076,16.9852,3.607683076,16.6705,3.292983076,15.3444,1.966883076,14.4159,1.038383076
11.25,-1.512,-0.246000007,18.032,4.654483076,16.1637,2.786183076,15.6056,2.228083076,14.1959,0.818383076,13.203,-0.174516924
11.25,-1.581,0.075000003,18.0287,4.651183076,15.7817,2.404183076,15.0088,1.631283076,13.4354,0.057883076,12.4019,-0.975616924
11.25,-1.479,0.198142117,18.1218,4.744283076,15.8591,2.481583076,15.219,1.841483076,13.6959,0.318383076,12.6472,-0.730316924
11.25,-1.547,-0.351000011,18.3853,5.007783076,16.7121,3.334583076,16.397,3.019483076,15.0783,1.700783076,14.1629,0.785383076
11.25,-1.523,-0.086000003,18.0008,4.623283076,16.1206,2.743083076,15.7518,2.374283076,14.3481,0.970583076,13.3968,0.019283076
11.25,-1.49,0.061000001,18.9164,5.538883076,17.3887,4.011183076,17.0925,3.714983076,15.7926,2.415083076,14.8552,1.477683076
