NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F435W,F435W_abs,F435W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e,Star ID,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,25226,6.0275494,-72.0771772,4521,12.457,-0.819172535,13.75,0.473827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.83,NaN,-0.75,NaN,NaN,0.52,NaN,18.8583,5.582127465,0.0104,15.5167,2.240527465,0,13.7398,0.463627465,0,12.0098,-1.266372535,0,10.9901,-2.286072535,0,R0016453,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,25961,5.9560283,-72.0740542,4521,12.966,-0.310172535,14.132,0.855827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.8,NaN,-0.75,NaN,NaN,0.65,NaN,18.4295,5.153327465,0.0169,15.5566,2.280427465,0,14.1951,0.918927465,0,12.6376,-0.638572535,0,11.6955,-1.580672535,0,R0018702,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,26870,6.0510425,-72.0699697,4521,13.863,0.586827465,14.867,1.590827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.72,NaN,-0.75,NaN,NaN,0.64,NaN,18.2235,4.947327465,0.0139,15.8427,2.566527465,0,14.9158,1.639627465,0,13.577,0.300827465,0,12.7401,-0.536072535,0,R0021007,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,31223,6.0267492,-72.0511844,4521,14.56,1.283827465,15.496,2.219827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.75,NaN,-0.75,NaN,NaN,0.24,NaN,-99.9999,-113.2760725,99.9999,16.1307,2.854527465,0,-99.9999,-113.2760725,99.9999,14.2675,0.991327465,0,13.4862,0.210027465,0,R0025771,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,31525,6.0421219,-72.0497769,4521,13.228,-0.048172535,14.34,1.063827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.73,NaN,-0.75,NaN,NaN,0.49,NaN,-99.9999,-113.2760725,99.9999,15.6486,2.372427465,0,-99.9999,-113.2760725,99.9999,12.9299,-0.346272535,0,11.9884,-1.287772535,0,R0025877,,,,,,,,,,,,,,,,,,,,,,
104,Marino,19992,5.95030417,-72.1007,4521,13.921,0.644827465,14.931,1.654827465,NaN,NaN,11.395,-1.881172535,4590,2.14,12.52,-0.744,0.12,-0.75,0.368000001,0.053,0.382378785,0.11,18.8476,5.571427465,0.0186,15.6995,2.423327465,0,15.3167,2.040527465,0,13.6429,0.366727465,0,12.8017,-0.474472535,0,R0001925,,,,,,,,,,,,,,,,,,,,,,
104,Marino,23175,5.971175,-72.08619722,4521,12.883,-0.393172535,14.054,0.777827465,NaN,NaN,7.736,-5.540172535,4233,1.47,12.52,-0.817,0.116,-0.75,0.054000001,0.09,0.625999987,0.138,18.5597,5.283527465,0.0105,15.5374,2.261227465,0,14.1402,0.864027465,0,12.5658,-0.710372535,0,11.6241,-1.652072535,0,R0008669,,,,,,,,,,,,,,,,,,,,,,
104,Marino,23211,6.12684167,-72.08596667,4521,13.813,0.536827465,14.839,1.562827465,NaN,NaN,11.133,-2.143172535,4557,2.07,12.52,-0.747,0.112,-0.75,-0.319999993,NaN,0.742999971,0.111,NaN,NaN,NaN,15.8221,2.545927465,0,NaN,NaN,NaN,13.5358,0.259627465,0,12.682,-0.594172535,0,R0008835,,,,,,,,,,,,,,,,,,,,,,
104,Marino,23335,6.04855417,-72.08535833,4521,12.708,-0.568172535,13.984,0.707827465,NaN,NaN,0,-13.27617254,4167,1.35,12.52,-0.679,0.213,-0.75,-0.034000002,0.022,0.68599999,0.182,18.2645,4.988327465,0.0091,15.5059,2.229727465,0,13.9932,0.717027465,0,12.3103,-0.965872535,0,11.3128,-1.963372535,0,R0009274,,,,,,,,,,,,,,,,,,,,,,
104,Marino,23821,6.0064625,-72.08316111,4521,12.832,-0.444172535,14.017,0.740827465,NaN,NaN,0,-13.27617254,4214,1.44,12.52,-0.787,0.188,-0.75,0.112318946,0.028,0.527999997,0.019,18.8156,5.539427465,0.0209,15.589,2.312827465,0,14.0887,0.812527465,0,12.4808,-0.795372535,0,11.4993,-1.776872535,0,R0011193,,,,,,,,,,,,,,,,,,,,,,
