Na/Fe,F275W,F275W_abs,F336W,F336W_abs,F435W,F435W_abs,F606W,F606W_abs,F814W,F814W_abs
0.759,19.78,4.767010096,17.1886,2.175610096,15.8291,0.816110096,13.9238,-1.089189904,12.8315,-2.181489904
0.339,19.7826,4.769610096,17.2806,2.267610096,16.1689,1.155910096,14.4609,-0.552089904,13.4042,-1.608789904
0.309,19.6492,4.636210096,17.4205,2.407510096,16.602,1.589010096,15.0744,0.061410096,14.0739,-0.939089904
-0.035999998,20.2288,5.215810096,17.2495,2.236510096,15.911,0.898010096,14.0652,-0.947789904,12.9362,-2.076789904
0.023,19.8226,4.809610096,17.2092,2.196210096,15.9523,0.939310096,14.1692,-0.843789904,13.0935,-1.919489904
0.475954467,19.6676,4.654610096,17.2588,2.245810096,16.1618,1.148810096,14.4589,-0.554089904,13.4163,-1.596689904
0.475307467,19.8637,4.850710096,17.2858,2.272810096,16.3569,1.343910096,14.7507,-0.262289904,13.7149,-1.298089904
0.083999999,20.7483,5.735310096,17.6332,2.620210096,15.4386,0.425610096,12.8163,-2.196689904,11.0615,-3.951489904
-0.068000004,19.9865,4.973510096,17.9252,2.912210096,17.248,2.235010096,15.1832,0.170210096,14.2064,-0.806589904
0.522000015,20.2309,5.217910096,17.154,2.141010096,15.584,0.571010096,13.6488,-1.364189904,12.4725,-2.540489904
0.465602499,20.1753,5.162310096,17.3947,2.381710096,16.4081,1.395110096,14.4901,-0.522889904,13.4276,-1.585389904
0.064999998,20.127,5.114010096,17.192,2.179010096,15.834,0.821010096,13.9443,-1.068689904,12.825,-2.187989904
0.412772048,19.9596,4.946610096,17.3052,2.292210096,16.2513,1.238310096,14.4655,-0.547489904,13.4247,-1.588289904
0.425904938,19.7245,4.711510096,17.221,2.208010096,16.0601,1.047110096,14.3456,-0.667389904,13.2853,-1.727689904
0.473689974,20.2776,5.264610096,17.2407,2.227710096,15.7668,0.753810096,13.8601,-1.152889904,12.6939,-2.319089904
0.443915758,19.9941,4.981110096,17.1956,2.182610096,15.7241,0.711110096,13.761,-1.251989904,12.6387,-2.374289904
0.489541421,20.8929,5.879910096,17.8754,2.862410096,15.5767,0.563710096,12.9429,-2.070089904,11.5102,-3.502789904
0.514127342,19.8135,4.800510096,17.2078,2.194810096,15.88,0.867010096,13.9768,-1.036189904,12.8815,-2.131489904
0.470778483,19.6962,4.683210096,17.2775,2.264510096,16.2078,1.194810096,14.4788,-0.534189904,13.4372,-1.575789904
0.474336973,20.3569,5.343910096,17.2401,2.227110096,15.7616,0.748610096,13.7017,-1.311289904,12.5621,-2.450889904
0.653999984,20.2211,5.208110096,17.3742,2.361210096,16.1422,1.129210096,14.1832,-0.829789904,13.096,-1.916989904
0.418025204,21.3513,6.338310096,18.1078,3.094810096,15.5042,0.491210096,13.1025,-1.910489904,11.8413,-3.171689904
0.449544146,19.7852,4.772210096,17.2354,2.222410096,16.4293,1.416310096,14.8574,-0.155589904,13.831,-1.181989904
0.501510882,20.5956,5.582610096,17.6249,2.611910096,16.2955,1.282510096,14.0165,-0.996489904,12.8641,-2.148889904
0.394386002,19.9798,4.966810096,17.1602,2.147210096,15.9963,0.983310096,14.1752,-0.837789904,13.1,-1.912989904
0.386131041,20.6909,5.677910096,17.4914,2.478410096,15.4366,0.423610096,12.972,-2.040989904,11.6216,-3.391389904
0.455250531,20.1251,5.112110096,17.0858,2.072810096,15.706,0.693010096,13.851,-1.161989904,12.7334,-2.279589904
-0.112000003,19.3948,4.381810096,17.4427,2.429710096,16.7131,1.700110096,15.2545,0.241510096,14.2848,-0.728189904
0.648999989,19.9021,4.889110096,17.2702,2.257210096,15.8224,0.809410096,13.8604,-1.152589904,12.7324,-2.280589904
0.498922895,20.3627,5.349710096,17.2439,2.230910096,15.6787,0.665710096,13.9427,-1.070289904,12.852,-2.160989904
0.488894422,20.335,5.322010096,17.6436,2.630610096,15.4774,0.464410096,12.9845,-2.028489904,11.5788,-3.434189904
0.638999999,20.5426,5.529610096,17.2915,2.278510096,15.9327,0.919710096,13.8967,-1.116289904,12.7553,-2.257689904
0.043000001,19.7228,4.709810096,17.4489,2.435910096,16.6786,1.665610096,15.1575,0.144510096,14.1567,-0.856289904
0.402265736,20.0013,4.988310096,17.2035,2.190510096,16.1345,1.121510096,14.3716,-0.641389904,13.3018,-1.711189904
0.078000002,20.0071,4.994110096,17.2148,2.201810096,15.9513,0.938310096,14.047,-0.965989904,12.9463,-2.066689904
0.439037834,19.8807,4.867710096,17.2257,2.212710096,15.9271,0.914110096,14.1039,-0.909089904,13.0059,-2.007089904
0.410895923,19.9655,4.952510096,17.1364,2.123410096,16.0905,1.077510096,14.3833,-0.629689904,13.2819,-1.731089904
-0.111000001,20.379,5.366010096,17.2906,2.277610096,16.0031,0.990110096,14.0561,-0.956889904,12.9474,-2.065589904
0.039999999,19.9529,4.939910096,17.5071,2.494110096,16.8276,1.814610096,15.1009,0.087910096,14.1039,-0.909089904
0.413522501,19.929,4.916010096,17.1963,2.183310096,16.2216,1.208610096,14.5374,-0.475589904,13.4707,-1.542289904
-0.032000002,20.1891,5.176110096,17.2632,2.250210096,15.9095,0.896510096,14.083,-0.929989904,12.9536,-2.059389904
0.443540538,19.725,4.712010096,17.3135,2.300510096,16.6031,1.590110096,15.0843,0.071310096,14.0822,-0.930789904
0.418025204,19.78,4.767010096,17.1886,2.175610096,15.8291,0.816110096,13.9238,-1.089189904,12.8315,-2.181489904
0.759000003,19.7826,4.769610096,17.2806,2.267610096,16.1689,1.155910096,14.4609,-0.552089904,13.4042,-1.608789904
0.056000002,19.6492,4.636210096,17.4205,2.407510096,16.602,1.589010096,15.0744,0.061410096,14.0739,-0.939089904
0.498,18.0968,4.719283076,15.7472,2.369683076,14.7297,1.352183076,13.0907,-0.286816924,11.9865,-1.391016924
0.001,18.4266,5.049083076,16.3737,2.996183076,15.9226,2.545083076,14.4542,1.076683076,13.4647,0.087183076
0.309,18.0742,4.696683076,16.2723,2.894783076,15.7886,2.411083076,14.4003,1.022783076,13.4454,0.067883076
0.432,18.6746,5.297083076,17.0007,3.623183076,16.5807,3.203183076,15.2036,1.826083076,14.2312,0.853683076
-0.103,18.454,5.076483076,16.3893,3.011783076,15.9291,2.551583076,14.443,1.065483076,13.4388,0.061283076
-0.246,18.1603,4.782783076,15.7515,2.373983076,14.9833,1.605783076,13.3098,-0.067716924,12.2064,-1.171116924
0.249,18.1591,4.781583076,16.3086,2.931083076,15.8346,2.457083076,14.4166,1.039083076,13.4613,0.083783076
-0.196,18.1686,4.791083076,16.1506,2.773083076,15.7139,2.336383076,14.2951,0.917583076,13.3216,-0.055916924
-0.297,18.3111,4.933583076,16.6372,3.259683076,16.4077,3.030183076,15.0995,1.721983076,14.1739,0.796383076
-0.063,18.0139,4.636383076,15.8744,2.496883076,15.3377,1.960183076,13.8508,0.473283076,12.8344,-0.543116924
0.142,18.5164,5.138883076,16.929,3.551483076,16.6079,3.230383076,15.3089,1.931383076,14.3885,1.010983076
